measure,count,table,date
Drop-in Center Clients Served,417,single_adults,2023-10-12
Drop-in Center Overnight Census,136,single_adults,2023-10-12
Faith Bed Census,23,single_adults,2023-10-12
Outreach Contacts,403,single_adults,2023-10-12
Outreach Placements,38,single_adults,2023-10-12
Safe Haven Utilization,1528,single_adults,2023-10-12
Veterans In Short-term Housing,186,single_adults,2023-10-12
Criminal Justice Short-term Housing,NA,single_adults,2023-10-12
Families with Children Requesting Temporary Housing,191,family_intake,2023-10-12
Adult Families Requesting Temporary Housing,28,family_intake,2023-10-12
Families Placed in Overnight Accommodations,0,family_intake,2023-10-12
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-12
Adults,53989,total_shelter_census,2023-10-12
Children,32155,total_shelter_census,2023-10-12
Total Individuals,86144,total_shelter_census,2023-10-12
Men,15000,total_single_adults,2023-10-12
Women,4802,total_single_adults,2023-10-12
Total Single Adults,19802,total_single_adults,2023-10-12
Families,18840,families_with_children,2023-10-12
Adults,29499,families_with_children,2023-10-12
Children,32155,families_with_children,2023-10-12
Individuals,61654,families_with_children,2023-10-12
Families,2198,adult_families_census,2023-10-12
Individuals (Adults),4688,adult_families_census,2023-10-12
Single Adults,21675,combined_total_single_adults,2023-10-12
Total Individuals,88017,combined_total_shelter_census,2023-10-12
Drop-in Center Clients Served,436,single_adults,2023-10-11
Drop-in Center Overnight Census,131,single_adults,2023-10-11
Faith Bed Census,20,single_adults,2023-10-11
Outreach Contacts,401,single_adults,2023-10-11
Outreach Placements,38,single_adults,2023-10-11
Safe Haven Utilization,1524,single_adults,2023-10-11
Veterans In Short-term Housing,187,single_adults,2023-10-11
Criminal Justice Short-term Housing,NA,single_adults,2023-10-11
Families with Children Requesting Temporary Housing,182,family_intake,2023-10-11
Adult Families Requesting Temporary Housing,25,family_intake,2023-10-11
Families Placed in Overnight Accommodations,0,family_intake,2023-10-11
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-11
Adults,53832,total_shelter_census,2023-10-11
Children,32138,total_shelter_census,2023-10-11
Total Individuals,85970,total_shelter_census,2023-10-11
Men,14990,total_single_adults,2023-10-11
Women,4664,total_single_adults,2023-10-11
Total Single Adults,19654,total_single_adults,2023-10-11
Families,18834,families_with_children,2023-10-11
Adults,29492,families_with_children,2023-10-11
Children,32138,families_with_children,2023-10-11
Individuals,61630,families_with_children,2023-10-11
Families,2195,adult_families_census,2023-10-11
Individuals (Adults),4686,adult_families_census,2023-10-11
Single Adults,21516,combined_total_single_adults,2023-10-11
Total Individuals,87832,combined_total_shelter_census,2023-10-11
Drop-in Center Clients Served,202,single_adults,2023-10-10
Drop-in Center Overnight Census,49,single_adults,2023-10-10
Faith Bed Census,NA,single_adults,2023-10-10
Outreach Contacts,427,single_adults,2023-10-10
Outreach Placements,51,single_adults,2023-10-10
Safe Haven Utilization,1519,single_adults,2023-10-10
Veterans In Short-term Housing,183,single_adults,2023-10-10
Criminal Justice Short-term Housing,NA,single_adults,2023-10-10
Families with Children Requesting Temporary Housing,153,family_intake,2023-10-10
Adult Families Requesting Temporary Housing,41,family_intake,2023-10-10
Families Placed in Overnight Accommodations,0,family_intake,2023-10-10
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-10
Adults,53865,total_shelter_census,2023-10-10
Children,32139,total_shelter_census,2023-10-10
Total Individuals,86004,total_shelter_census,2023-10-10
Men,14953,total_single_adults,2023-10-10
Women,4752,total_single_adults,2023-10-10
Total Single Adults,19705,total_single_adults,2023-10-10
Families,18808,families_with_children,2023-10-10
Adults,29471,families_with_children,2023-10-10
Children,32139,families_with_children,2023-10-10
Individuals,61610,families_with_children,2023-10-10
Families,2197,adult_families_census,2023-10-10
Individuals (Adults),4689,adult_families_census,2023-10-10
Single Adults,21456,combined_total_single_adults,2023-10-10
Total Individuals,87755,combined_total_shelter_census,2023-10-10
Drop-in Center Clients Served,434,single_adults,2023-10-09
Drop-in Center Overnight Census,147,single_adults,2023-10-09
Faith Bed Census,20,single_adults,2023-10-09
Outreach Contacts,369,single_adults,2023-10-09
Outreach Placements,43,single_adults,2023-10-09
Safe Haven Utilization,1482,single_adults,2023-10-09
Veterans In Short-term Housing,182,single_adults,2023-10-09
Criminal Justice Short-term Housing,NA,single_adults,2023-10-09
Families with Children Requesting Temporary Housing,152,family_intake,2023-10-09
Adult Families Requesting Temporary Housing,11,family_intake,2023-10-09
Families Placed in Overnight Accommodations,0,family_intake,2023-10-09
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-09
Adults,53804,total_shelter_census,2023-10-09
Children,32160,total_shelter_census,2023-10-09
Total Individuals,85964,total_shelter_census,2023-10-09
Men,14945,total_single_adults,2023-10-09
Women,4753,total_single_adults,2023-10-09
Total Single Adults,19698,total_single_adults,2023-10-09
Families,18824,families_with_children,2023-10-09
Adults,29497,families_with_children,2023-10-09
Children,32160,families_with_children,2023-10-09
Individuals,61657,families_with_children,2023-10-09
Families,2157,adult_families_census,2023-10-09
Individuals (Adults),4609,adult_families_census,2023-10-09
Single Adults,21529,combined_total_single_adults,2023-10-09
Total Individuals,87795,combined_total_shelter_census,2023-10-09
Drop-in Center Clients Served,409,single_adults,2023-10-05
Drop-in Center Overnight Census,137,single_adults,2023-10-05
Faith Bed Census,23,single_adults,2023-10-05
Outreach Contacts,469,single_adults,2023-10-05
Outreach Placements,56,single_adults,2023-10-05
Safe Haven Utilization,1504,single_adults,2023-10-05
Veterans In Short-term Housing,190,single_adults,2023-10-05
Criminal Justice Short-term Housing,NA,single_adults,2023-10-05
Families with Children Requesting Temporary Housing,166,family_intake,2023-10-05
Adult Families Requesting Temporary Housing,25,family_intake,2023-10-05
Families Placed in Overnight Accommodations,0,family_intake,2023-10-05
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-05
Adults,53552,total_shelter_census,2023-10-05
Children,31874,total_shelter_census,2023-10-05
Total Individuals,85426,total_shelter_census,2023-10-05
Men,14958,total_single_adults,2023-10-05
Women,4754,total_single_adults,2023-10-05
Total Single Adults,19712,total_single_adults,2023-10-05
Families,18661,families_with_children,2023-10-05
Adults,29237,families_with_children,2023-10-05
Children,31874,families_with_children,2023-10-05
Individuals,61111,families_with_children,2023-10-05
Families,2155,adult_families_census,2023-10-05
Individuals (Adults),4603,adult_families_census,2023-10-05
Single Adults,21566,combined_total_single_adults,2023-10-05
Total Individuals,87280,combined_total_shelter_census,2023-10-05
Drop-in Center Clients Served,537,single_adults,2023-10-04
Drop-in Center Overnight Census,202,single_adults,2023-10-04
Faith Bed Census,22,single_adults,2023-10-04
Outreach Contacts,370,single_adults,2023-10-04
Outreach Placements,40,single_adults,2023-10-04
Safe Haven Utilization,1510,single_adults,2023-10-04
Veterans In Short-term Housing,183,single_adults,2023-10-04
Criminal Justice Short-term Housing,NA,single_adults,2023-10-04
Families with Children Requesting Temporary Housing,173,family_intake,2023-10-04
Adult Families Requesting Temporary Housing,41,family_intake,2023-10-04
Families Placed in Overnight Accommodations,0,family_intake,2023-10-04
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-04
Adults,53426,total_shelter_census,2023-10-04
Children,31842,total_shelter_census,2023-10-04
Total Individuals,85268,total_shelter_census,2023-10-04
Men,14928,total_single_adults,2023-10-04
Women,4751,total_single_adults,2023-10-04
Total Single Adults,19679,total_single_adults,2023-10-04
Families,18615,families_with_children,2023-10-04
Adults,29172,families_with_children,2023-10-04
Children,31842,families_with_children,2023-10-04
Individuals,61014,families_with_children,2023-10-04
Families,2144,adult_families_census,2023-10-04
Individuals (Adults),4575,adult_families_census,2023-10-04
Single Adults,21596,combined_total_single_adults,2023-10-04
Total Individuals,87185,combined_total_shelter_census,2023-10-04
Drop-in Center Clients Served,531,single_adults,2023-10-03
Drop-in Center Overnight Census,195,single_adults,2023-10-03
Faith Bed Census,18,single_adults,2023-10-03
Outreach Contacts,405,single_adults,2023-10-03
Outreach Placements,48,single_adults,2023-10-03
Safe Haven Utilization,1532,single_adults,2023-10-03
Veterans In Short-term Housing,183,single_adults,2023-10-03
Criminal Justice Short-term Housing,NA,single_adults,2023-10-03
Families with Children Requesting Temporary Housing,213,family_intake,2023-10-03
Adult Families Requesting Temporary Housing,20,family_intake,2023-10-03
Families Placed in Overnight Accommodations,0,family_intake,2023-10-03
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-03
Adults,53402,total_shelter_census,2023-10-03
Children,31776,total_shelter_census,2023-10-03
Total Individuals,85178,total_shelter_census,2023-10-03
Men,14923,total_single_adults,2023-10-03
Women,4753,total_single_adults,2023-10-03
Total Single Adults,19676,total_single_adults,2023-10-03
Families,18578,families_with_children,2023-10-03
Adults,29120,families_with_children,2023-10-03
Children,31776,families_with_children,2023-10-03
Individuals,60896,families_with_children,2023-10-03
Families,2158,adult_families_census,2023-10-03
Individuals (Adults),4606,adult_families_census,2023-10-03
Single Adults,21604,combined_total_single_adults,2023-10-03
Total Individuals,87106,combined_total_shelter_census,2023-10-03
Drop-in Center Clients Served,235,single_adults,2023-10-02
Drop-in Center Overnight Census,133,single_adults,2023-10-02
Faith Bed Census,NA,single_adults,2023-10-02
Outreach Contacts,396,single_adults,2023-10-02
Outreach Placements,36,single_adults,2023-10-02
Safe Haven Utilization,1541,single_adults,2023-10-02
Veterans In Short-term Housing,182,single_adults,2023-10-02
Criminal Justice Short-term Housing,NA,single_adults,2023-10-02
Families with Children Requesting Temporary Housing,203,family_intake,2023-10-02
Adult Families Requesting Temporary Housing,35,family_intake,2023-10-02
Families Placed in Overnight Accommodations,0,family_intake,2023-10-02
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-10-02
Adults,53386,total_shelter_census,2023-10-02
Children,31784,total_shelter_census,2023-10-02
Total Individuals,85170,total_shelter_census,2023-10-02
Men,14966,total_single_adults,2023-10-02
Women,4734,total_single_adults,2023-10-02
Total Single Adults,19700,total_single_adults,2023-10-02
Families,18570,families_with_children,2023-10-02
Adults,29097,families_with_children,2023-10-02
Children,31784,families_with_children,2023-10-02
Individuals,60881,families_with_children,2023-10-02
Families,2150,adult_families_census,2023-10-02
Individuals (Adults),4589,adult_families_census,2023-10-02
Single Adults,21556,combined_total_single_adults,2023-10-02
Total Individuals,87026,combined_total_shelter_census,2023-10-02
Drop-in Center Clients Served,424,single_adults,2023-09-28
Drop-in Center Overnight Census,142,single_adults,2023-09-28
Faith Bed Census,23,single_adults,2023-09-28
Outreach Contacts,415,single_adults,2023-09-28
Outreach Placements,48,single_adults,2023-09-28
Safe Haven Utilization,1535,single_adults,2023-09-28
Veterans In Short-term Housing,177,single_adults,2023-09-28
Criminal Justice Short-term Housing,NA,single_adults,2023-09-28
Families with Children Requesting Temporary Housing,158,family_intake,2023-09-28
Adult Families Requesting Temporary Housing,22,family_intake,2023-09-28
Families Placed in Overnight Accommodations,0,family_intake,2023-09-28
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-28
Adults,53567,total_shelter_census,2023-09-28
Children,31680,total_shelter_census,2023-09-28
Total Individuals,85247,total_shelter_census,2023-09-28
Men,15128,total_single_adults,2023-09-28
Women,4759,total_single_adults,2023-09-28
Total Single Adults,19887,total_single_adults,2023-09-28
Families,18555,families_with_children,2023-09-28
Adults,29053,families_with_children,2023-09-28
Children,31680,families_with_children,2023-09-28
Individuals,60733,families_with_children,2023-09-28
Families,2167,adult_families_census,2023-09-28
Individuals (Adults),4627,adult_families_census,2023-09-28
Single Adults,21764,combined_total_single_adults,2023-09-28
Total Individuals,87124,combined_total_shelter_census,2023-09-28
Drop-in Center Clients Served,436,single_adults,2023-09-27
Drop-in Center Overnight Census,145,single_adults,2023-09-27
Faith Bed Census,19,single_adults,2023-09-27
Outreach Contacts,437,single_adults,2023-09-27
Outreach Placements,46,single_adults,2023-09-27
Safe Haven Utilization,1540,single_adults,2023-09-27
Veterans In Short-term Housing,188,single_adults,2023-09-27
Criminal Justice Short-term Housing,NA,single_adults,2023-09-27
Families with Children Requesting Temporary Housing,140,family_intake,2023-09-27
Adult Families Requesting Temporary Housing,33,family_intake,2023-09-27
Families Placed in Overnight Accommodations,0,family_intake,2023-09-27
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-27
Adults,53584,total_shelter_census,2023-09-27
Children,31656,total_shelter_census,2023-09-27
Total Individuals,85240,total_shelter_census,2023-09-27
Men,15149,total_single_adults,2023-09-27
Women,4771,total_single_adults,2023-09-27
Total Single Adults,19920,total_single_adults,2023-09-27
Families,18542,families_with_children,2023-09-27
Adults,29047,families_with_children,2023-09-27
Children,31656,families_with_children,2023-09-27
Individuals,60703,families_with_children,2023-09-27
Families,2162,adult_families_census,2023-09-27
Individuals (Adults),4617,adult_families_census,2023-09-27
Single Adults,21812,combined_total_single_adults,2023-09-27
Total Individuals,87132,combined_total_shelter_census,2023-09-27
Drop-in Center Clients Served,568,single_adults,2023-09-25
Drop-in Center Overnight Census,207,single_adults,2023-09-25
Faith Bed Census,19,single_adults,2023-09-25
Outreach Contacts,415,single_adults,2023-09-25
Outreach Placements,33,single_adults,2023-09-25
Safe Haven Utilization,1542,single_adults,2023-09-25
Veterans In Short-term Housing,177,single_adults,2023-09-25
Criminal Justice Short-term Housing,NA,single_adults,2023-09-25
Families with Children Requesting Temporary Housing,236,family_intake,2023-09-25
Adult Families Requesting Temporary Housing,34,family_intake,2023-09-25
Families Placed in Overnight Accommodations,0,family_intake,2023-09-25
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-25
Adults,53387,total_shelter_census,2023-09-25
Children,31450,total_shelter_census,2023-09-25
Total Individuals,84837,total_shelter_census,2023-09-25
Men,15093,total_single_adults,2023-09-25
Women,4807,total_single_adults,2023-09-25
Total Single Adults,19900,total_single_adults,2023-09-25
Families,18413,families_with_children,2023-09-25
Adults,28867,families_with_children,2023-09-25
Children,31450,families_with_children,2023-09-25
Individuals,60317,families_with_children,2023-09-25
Families,2165,adult_families_census,2023-09-25
Individuals (Adults),4620,adult_families_census,2023-09-25
Single Adults,21845,combined_total_single_adults,2023-09-25
Total Individuals,86782,combined_total_shelter_census,2023-09-25
Drop-in Center Clients Served,432,single_adults,2023-09-24
Drop-in Center Overnight Census,182,single_adults,2023-09-24
Faith Bed Census,23,single_adults,2023-09-24
Outreach Contacts,322,single_adults,2023-09-24
Outreach Placements,29,single_adults,2023-09-24
Safe Haven Utilization,1547,single_adults,2023-09-24
Veterans In Short-term Housing,175,single_adults,2023-09-24
Criminal Justice Short-term Housing,NA,single_adults,2023-09-24
Families with Children Requesting Temporary Housing,100,family_intake,2023-09-24
Adult Families Requesting Temporary Housing,24,family_intake,2023-09-24
Families Placed in Overnight Accommodations,0,family_intake,2023-09-24
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-24
Adults,53373,total_shelter_census,2023-09-24
Children,31565,total_shelter_census,2023-09-24
Total Individuals,84938,total_shelter_census,2023-09-24
Men,15026,total_single_adults,2023-09-24
Women,4795,total_single_adults,2023-09-24
Total Single Adults,19821,total_single_adults,2023-09-24
Families,18484,families_with_children,2023-09-24
Adults,28960,families_with_children,2023-09-24
Children,31565,families_with_children,2023-09-24
Individuals,60525,families_with_children,2023-09-24
Families,2150,adult_families_census,2023-09-24
Individuals (Adults),4592,adult_families_census,2023-09-24
Single Adults,21748,combined_total_single_adults,2023-09-24
Total Individuals,86865,combined_total_shelter_census,2023-09-24
Drop-in Center Clients Served,430,single_adults,2023-09-21
Drop-in Center Overnight Census,152,single_adults,2023-09-21
Faith Bed Census,16,single_adults,2023-09-21
Outreach Contacts,472,single_adults,2023-09-21
Outreach Placements,44,single_adults,2023-09-21
Safe Haven Utilization,1537,single_adults,2023-09-21
Veterans In Short-term Housing,176,single_adults,2023-09-21
Criminal Justice Short-term Housing,NA,single_adults,2023-09-21
Families with Children Requesting Temporary Housing,141,family_intake,2023-09-21
Adult Families Requesting Temporary Housing,32,family_intake,2023-09-21
Families Placed in Overnight Accommodations,0,family_intake,2023-09-21
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-21
Adults,53209,total_shelter_census,2023-09-21
Children,31450,total_shelter_census,2023-09-21
Total Individuals,84659,total_shelter_census,2023-09-21
Men,14980,total_single_adults,2023-09-21
Women,4789,total_single_adults,2023-09-21
Total Single Adults,19769,total_single_adults,2023-09-21
Families,18399,families_with_children,2023-09-21
Adults,28828,families_with_children,2023-09-21
Children,31450,families_with_children,2023-09-21
Individuals,60278,families_with_children,2023-09-21
Families,2160,adult_families_census,2023-09-21
Individuals (Adults),4612,adult_families_census,2023-09-21
Single Adults,21650,combined_total_single_adults,2023-09-21
Total Individuals,86540,combined_total_shelter_census,2023-09-21
Drop-in Center Clients Served,433,single_adults,2023-09-20
Drop-in Center Overnight Census,155,single_adults,2023-09-20
Faith Bed Census,5,single_adults,2023-09-20
Outreach Contacts,435,single_adults,2023-09-20
Outreach Placements,35,single_adults,2023-09-20
Safe Haven Utilization,1541,single_adults,2023-09-20
Veterans In Short-term Housing,178,single_adults,2023-09-20
Criminal Justice Short-term Housing,NA,single_adults,2023-09-20
Families with Children Requesting Temporary Housing,200,family_intake,2023-09-20
Adult Families Requesting Temporary Housing,25,family_intake,2023-09-20
Families Placed in Overnight Accommodations,0,family_intake,2023-09-20
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-20
Adults,53097,total_shelter_census,2023-09-20
Children,31403,total_shelter_census,2023-09-20
Total Individuals,84500,total_shelter_census,2023-09-20
Men,14920,total_single_adults,2023-09-20
Women,4782,total_single_adults,2023-09-20
Total Single Adults,19702,total_single_adults,2023-09-20
Families,18360,families_with_children,2023-09-20
Adults,28771,families_with_children,2023-09-20
Children,31403,families_with_children,2023-09-20
Individuals,60174,families_with_children,2023-09-20
Families,2164,adult_families_census,2023-09-20
Individuals (Adults),4624,adult_families_census,2023-09-20
Single Adults,21581,combined_total_single_adults,2023-09-20
Total Individuals,86379,combined_total_shelter_census,2023-09-20
Drop-in Center Clients Served,415,single_adults,2023-09-19
Drop-in Center Overnight Census,138,single_adults,2023-09-19
Faith Bed Census,20,single_adults,2023-09-19
Outreach Contacts,452,single_adults,2023-09-19
Outreach Placements,46,single_adults,2023-09-19
Safe Haven Utilization,1536,single_adults,2023-09-19
Veterans In Short-term Housing,178,single_adults,2023-09-19
Criminal Justice Short-term Housing,NA,single_adults,2023-09-19
Families with Children Requesting Temporary Housing,175,family_intake,2023-09-19
Adult Families Requesting Temporary Housing,27,family_intake,2023-09-19
Families Placed in Overnight Accommodations,0,family_intake,2023-09-19
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-19
Adults,53050,total_shelter_census,2023-09-19
Children,31312,total_shelter_census,2023-09-19
Total Individuals,84362,total_shelter_census,2023-09-19
Men,14949,total_single_adults,2023-09-19
Women,4787,total_single_adults,2023-09-19
Total Single Adults,19736,total_single_adults,2023-09-19
Families,18318,families_with_children,2023-09-19
Adults,28703,families_with_children,2023-09-19
Children,31312,families_with_children,2023-09-19
Individuals,60015,families_with_children,2023-09-19
Families,2159,adult_families_census,2023-09-19
Individuals (Adults),4611,adult_families_census,2023-09-19
Single Adults,21608,combined_total_single_adults,2023-09-19
Total Individuals,86234,combined_total_shelter_census,2023-09-19
Drop-in Center Clients Served,235,single_adults,2023-09-18
Drop-in Center Overnight Census,100,single_adults,2023-09-18
Faith Bed Census,0,single_adults,2023-09-18
Outreach Contacts,345,single_adults,2023-09-18
Outreach Placements,45,single_adults,2023-09-18
Safe Haven Utilization,1539,single_adults,2023-09-18
Veterans In Short-term Housing,181,single_adults,2023-09-18
Criminal Justice Short-term Housing,NA,single_adults,2023-09-18
Families with Children Requesting Temporary Housing,206,family_intake,2023-09-18
Adult Families Requesting Temporary Housing,32,family_intake,2023-09-18
Families Placed in Overnight Accommodations,0,family_intake,2023-09-18
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-18
Adults,52981,total_shelter_census,2023-09-18
Children,31253,total_shelter_census,2023-09-18
Total Individuals,84234,total_shelter_census,2023-09-18
Men,14937,total_single_adults,2023-09-18
Women,4799,total_single_adults,2023-09-18
Total Single Adults,19736,total_single_adults,2023-09-18
Families,18282,families_with_children,2023-09-18
Adults,28642,families_with_children,2023-09-18
Children,31253,families_with_children,2023-09-18
Individuals,59895,families_with_children,2023-09-18
Families,2156,adult_families_census,2023-09-18
Individuals (Adults),4603,adult_families_census,2023-09-18
Single Adults,21556,combined_total_single_adults,2023-09-18
Total Individuals,86054,combined_total_shelter_census,2023-09-18
Drop-in Center Clients Served,493,single_adults,2023-09-14
Drop-in Center Overnight Census,162,single_adults,2023-09-14
Faith Bed Census,19,single_adults,2023-09-14
Outreach Contacts,408,single_adults,2023-09-14
Outreach Placements,41,single_adults,2023-09-14
Safe Haven Utilization,1534,single_adults,2023-09-14
Veterans In Short-term Housing,177,single_adults,2023-09-14
Criminal Justice Short-term Housing,NA,single_adults,2023-09-14
Families with Children Requesting Temporary Housing,179,family_intake,2023-09-14
Adult Families Requesting Temporary Housing,30,family_intake,2023-09-14
Families Placed in Overnight Accommodations,0,family_intake,2023-09-14
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-14
Adults,53104,total_shelter_census,2023-09-14
Children,31180,total_shelter_census,2023-09-14
Total Individuals,84284,total_shelter_census,2023-09-14
Men,15090,total_single_adults,2023-09-14
Women,4809,total_single_adults,2023-09-14
Total Single Adults,19899,total_single_adults,2023-09-14
Families,18232,families_with_children,2023-09-14
Adults,28570,families_with_children,2023-09-14
Children,31180,families_with_children,2023-09-14
Individuals,59750,families_with_children,2023-09-14
Families,2171,adult_families_census,2023-09-14
Individuals (Adults),4635,adult_families_census,2023-09-14
Single Adults,21791,combined_total_single_adults,2023-09-14
Total Individuals,86176,combined_total_shelter_census,2023-09-14
Drop-in Center Clients Served,329,single_adults,2023-09-13
Drop-in Center Overnight Census,113,single_adults,2023-09-13
Faith Bed Census,18,single_adults,2023-09-13
Outreach Contacts,440,single_adults,2023-09-13
Outreach Placements,63,single_adults,2023-09-13
Safe Haven Utilization,1533,single_adults,2023-09-13
Veterans In Short-term Housing,171,single_adults,2023-09-13
Criminal Justice Short-term Housing,NA,single_adults,2023-09-13
Families with Children Requesting Temporary Housing,161,family_intake,2023-09-13
Adult Families Requesting Temporary Housing,20,family_intake,2023-09-13
Families Placed in Overnight Accommodations,0,family_intake,2023-09-13
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-13
Adults,52995,total_shelter_census,2023-09-13
Children,31114,total_shelter_census,2023-09-13
Total Individuals,84109,total_shelter_census,2023-09-13
Men,15057,total_single_adults,2023-09-13
Women,4792,total_single_adults,2023-09-13
Total Single Adults,19849,total_single_adults,2023-09-13
Families,18183,families_with_children,2023-09-13
Adults,28506,families_with_children,2023-09-13
Children,31114,families_with_children,2023-09-13
Individuals,59620,families_with_children,2023-09-13
Families,2174,adult_families_census,2023-09-13
Individuals (Adults),4640,adult_families_census,2023-09-13
Single Adults,21684,combined_total_single_adults,2023-09-13
Total Individuals,85944,combined_total_shelter_census,2023-09-13
Drop-in Center Clients Served,428,single_adults,2023-09-12
Drop-in Center Overnight Census,128,single_adults,2023-09-12
Faith Bed Census,20,single_adults,2023-09-12
Outreach Contacts,412,single_adults,2023-09-12
Outreach Placements,67,single_adults,2023-09-12
Safe Haven Utilization,1525,single_adults,2023-09-12
Veterans In Short-term Housing,174,single_adults,2023-09-12
Criminal Justice Short-term Housing,NA,single_adults,2023-09-12
Families with Children Requesting Temporary Housing,166,family_intake,2023-09-12
Adult Families Requesting Temporary Housing,21,family_intake,2023-09-12
Families Placed in Overnight Accommodations,0,family_intake,2023-09-12
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-12
Adults,53004,total_shelter_census,2023-09-12
Children,31076,total_shelter_census,2023-09-12
Total Individuals,84080,total_shelter_census,2023-09-12
Men,15062,total_single_adults,2023-09-12
Women,4808,total_single_adults,2023-09-12
Total Single Adults,19870,total_single_adults,2023-09-12
Families,18160,families_with_children,2023-09-12
Adults,28487,families_with_children,2023-09-12
Children,31076,families_with_children,2023-09-12
Individuals,59563,families_with_children,2023-09-12
Families,2177,adult_families_census,2023-09-12
Individuals (Adults),4647,adult_families_census,2023-09-12
Single Adults,21717,combined_total_single_adults,2023-09-12
Total Individuals,85927,combined_total_shelter_census,2023-09-12
Drop-in Center Clients Served,410,single_adults,2023-09-11
Drop-in Center Overnight Census,138,single_adults,2023-09-11
Faith Bed Census,19,single_adults,2023-09-11
Outreach Contacts,256,single_adults,2023-09-11
Outreach Placements,32,single_adults,2023-09-11
Safe Haven Utilization,1531,single_adults,2023-09-11
Veterans In Short-term Housing,171,single_adults,2023-09-11
Criminal Justice Short-term Housing,NA,single_adults,2023-09-11
Families with Children Requesting Temporary Housing,201,family_intake,2023-09-11
Adult Families Requesting Temporary Housing,23,family_intake,2023-09-11
Families Placed in Overnight Accommodations,0,family_intake,2023-09-11
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-11
Adults,52827,total_shelter_census,2023-09-11
Children,30977,total_shelter_census,2023-09-11
Total Individuals,83804,total_shelter_census,2023-09-11
Men,14988,total_single_adults,2023-09-11
Women,4780,total_single_adults,2023-09-11
Total Single Adults,19768,total_single_adults,2023-09-11
Families,18112,families_with_children,2023-09-11
Adults,28420,families_with_children,2023-09-11
Children,30977,families_with_children,2023-09-11
Individuals,59397,families_with_children,2023-09-11
Families,2172,adult_families_census,2023-09-11
Individuals (Adults),4639,adult_families_census,2023-09-11
Single Adults,21627,combined_total_single_adults,2023-09-11
Total Individuals,85663,combined_total_shelter_census,2023-09-11
Drop-in Center Clients Served,225,single_adults,2023-09-10
Drop-in Center Overnight Census,137,single_adults,2023-09-10
Faith Bed Census,0,single_adults,2023-09-10
Outreach Contacts,245,single_adults,2023-09-10
Outreach Placements,29,single_adults,2023-09-10
Safe Haven Utilization,1532,single_adults,2023-09-10
Veterans In Short-term Housing,169,single_adults,2023-09-10
Criminal Justice Short-term Housing,NA,single_adults,2023-09-10
Families with Children Requesting Temporary Housing,107,family_intake,2023-09-10
Adult Families Requesting Temporary Housing,18,family_intake,2023-09-10
Families Placed in Overnight Accommodations,0,family_intake,2023-09-10
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-10
Adults,52777,total_shelter_census,2023-09-10
Children,31034,total_shelter_census,2023-09-10
Total Individuals,83811,total_shelter_census,2023-09-10
Men,14938,total_single_adults,2023-09-10
Women,4757,total_single_adults,2023-09-10
Total Single Adults,19695,total_single_adults,2023-09-10
Families,18140,families_with_children,2023-09-10
Adults,28455,families_with_children,2023-09-10
Children,31034,families_with_children,2023-09-10
Individuals,59489,families_with_children,2023-09-10
Families,2167,adult_families_census,2023-09-10
Individuals (Adults),4627,adult_families_census,2023-09-10
Single Adults,21533,combined_total_single_adults,2023-09-10
Total Individuals,85649,combined_total_shelter_census,2023-09-10
Drop-in Center Clients Served,410,single_adults,2023-09-07
Drop-in Center Overnight Census,137,single_adults,2023-09-07
Faith Bed Census,13,single_adults,2023-09-07
Outreach Contacts,347,single_adults,2023-09-07
Outreach Placements,61,single_adults,2023-09-07
Safe Haven Utilization,1545,single_adults,2023-09-07
Veterans In Short-term Housing,166,single_adults,2023-09-07
Criminal Justice Short-term Housing,NA,single_adults,2023-09-07
Families with Children Requesting Temporary Housing,179,family_intake,2023-09-07
Adult Families Requesting Temporary Housing,29,family_intake,2023-09-07
Families Placed in Overnight Accommodations,0,family_intake,2023-09-07
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2023-09-07
Adults,52683,total_shelter_census,2023-09-07
Children,30700,total_shelter_census,2023-09-07
Total Individuals,83383,total_shelter_census,2023-09-07
Men,14978,total_single_adults,2023-09-07
Women,4792,total_single_adults,2023-09-07
