facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,09_2023,2023-09-01,adult_families,0,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,09_2023,2023-09-01,total_single_adults,72,Voucher,Permanent Housing,Is this a total?
Residential drug treatment and detoxification,HRA,09_2023,2023-09-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,09_2023,2023-09-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,09_2023,2023-09-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Section 8,HRA,09_2023,2023-09-01,families_with_children,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,09_2023,2023-09-01,adult_families,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,09_2023,2023-09-01,total_single_adults,0,Section 8,Permanent Housing,Is this a total?
Settings with higher levels of medical care- inpatient hospitalization,HRA,09_2023,2023-09-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,09_2023,2023-09-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,09_2023,2023-09-01,total_single_adults,12,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,09_2023,2023-09-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,09_2023,2023-09-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,09_2023,2023-09-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Supportive housing,HRA,09_2023,2023-09-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,09_2023,2023-09-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,09_2023,2023-09-01,total_single_adults,30,Supportive housing,Permanent Housing,NA
Unknown or unable to validate,HRA,09_2023,2023-09-01,families_with_children,101,Unknown,Unknown,NA
Unknown or unable to validate,HRA,09_2023,2023-09-01,adult_families,30,Unknown,Unknown,NA
Unknown or unable to validate,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,HRA,09_2023,2023-09-01,total_single_adults,149,Unknown,Unknown,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,09_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,09_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,09_2023,2023-09-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,09_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,09_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,09_2023,2023-09-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,09_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,09_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,09_2023,2023-09-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Moved back to vacated building,HRA,09_2023,2023-09-01,families_with_children,NA,Other,Other,NA
Moved back to vacated building,HRA,09_2023,2023-09-01,adult_families,NA,Other,Other,NA
Moved back to vacated building,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,HRA,09_2023,2023-09-01,total_single_adults,NA,Other,Other,NA
Other affordable housing- 421-a affordable housing,HRA,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HRA,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HRA,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,09_2023,2023-09-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,09_2023,2023-09-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,09_2023,2023-09-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,09_2023,2023-09-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,09_2023,2023-09-01,families_with_children,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,09_2023,2023-09-01,adult_families,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,09_2023,2023-09-01,total_single_adults,NA,Rapid re-housing,Other,NA
Section 8 voucher housing- HPD- project-based,HRA,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HRA,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HRA,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- tenant-based,HRA,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HRA,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HRA,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,HRA,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HRA,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HRA,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Settings with higher levels of medical care- long-term care facilities,HRA,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,HRA,09_2023,2023-09-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,HRA,09_2023,2023-09-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,09_2023,2023-09-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,09_2023,2023-09-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,09_2023,2023-09-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,09_2023,2023-09-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,09_2023,2023-09-01,total_single_adults,NA,Transitional housing,Other,NA
A private rental market apartment with no rental subsidy,DYCD,09_2023,2023-09-01,families_with_children,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DYCD,09_2023,2023-09-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DYCD,09_2023,2023-09-01,total_single_adults,0,Private market,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,09_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,09_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,09_2023,2023-09-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,09_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,09_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,09_2023,2023-09-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,09_2023,2023-09-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,09_2023,2023-09-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,09_2023,2023-09-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Housing of friends or family,DYCD,09_2023,2023-09-01,families_with_children,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,DYCD,09_2023,2023-09-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Family or friends,Permanent Housing,NA
Housing of friends or family,DYCD,09_2023,2023-09-01,total_single_adults,23,Family or friends,Permanent Housing,NA
Moved back to vacated building,DYCD,09_2023,2023-09-01,families_with_children,NA,Other,Other,NA
Moved back to vacated building,DYCD,09_2023,2023-09-01,adult_families,NA,Other,Other,NA
Moved back to vacated building,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,DYCD,09_2023,2023-09-01,total_single_adults,NA,Other,Other,NA
Other affordable housing- 421-a affordable housing,DYCD,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DYCD,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DYCD,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,09_2023,2023-09-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,09_2023,2023-09-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,09_2023,2023-09-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,09_2023,2023-09-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,09_2023,2023-09-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,09_2023,2023-09-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,09_2023,2023-09-01,total_single_adults,NA,Voucher,Permanent Housing,NA
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,09_2023,2023-09-01,families_with_children,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,09_2023,2023-09-01,adult_families,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,09_2023,2023-09-01,total_single_adults,NA,Voucher,Permanent Housing,Is this a total?
Rapid re-housing funded by the United States department of housing and urban development,DYCD,09_2023,2023-09-01,families_with_children,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,DYCD,09_2023,2023-09-01,adult_families,0,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,DYCD,09_2023,2023-09-01,total_single_adults,0,Rapid re-housing,Other,NA
Residential drug treatment and detoxification,DYCD,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,DYCD,09_2023,2023-09-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,DYCD,09_2023,2023-09-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Section 8 voucher housing- HPD- project-based,DYCD,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,DYCD,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,DYCD,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- tenant-based,DYCD,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DYCD,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,DYCD,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,DYCD,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,DYCD,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,DYCD,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,DYCD,09_2023,2023-09-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DYCD,09_2023,2023-09-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,DYCD,09_2023,2023-09-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,09_2023,2023-09-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,DYCD,09_2023,2023-09-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,09_2023,2023-09-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,DYCD,09_2023,2023-09-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,09_2023,2023-09-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,DYCD,09_2023,2023-09-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,09_2023,2023-09-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,09_2023,2023-09-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,09_2023,2023-09-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,DYCD,09_2023,2023-09-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Supportive housing,DYCD,09_2023,2023-09-01,families_with_children,NA,Supportive housing,Permanent Housing,NA
